week_start,agora-rtc-sdk-ng,agora-rtc-sdk,agora-rtm-sdk,agora-rtc-react,react-native-agora
2017-06-12,,,,,63
2017-06-19,,,,,44
2017-06-26,,,,,102
2017-07-03,,,,,112
2017-07-10,,,,,59
2017-07-17,,,,,18
2017-07-24,,,,,1
2017-07-31,,,,,49
2017-08-07,,,,,1
2017-08-14,,,,,35
2017-08-21,,,,,10
2017-08-28,,,,,85
2017-09-04,,,,,2
2017-09-11,,,,,6
2017-09-18,,,,,19
2017-09-25,,,,,11
2017-10-02,,,,,19
2017-10-09,,,,,31
2017-10-16,,,,,104
2017-10-23,,,,,9
2017-10-30,,,,,16
2017-11-06,,,,,18
2017-11-13,,,,,16
2017-11-20,,,,,228
2017-11-27,,,,,91
2017-12-04,,,,,201
2017-12-11,,,,,10
2017-12-18,,,,,88
2017-12-25,,,,,24
2018-01-01,,,,,54
2018-01-08,,,,,30
2018-01-15,,,,,50
2018-01-22,,,,,37
2018-01-29,,,,,46
2018-02-05,,,,,32
2018-02-12,,,,,19
2018-02-19,,,,,44
2018-02-26,,,,,137
2018-03-05,,,,,34
2018-03-12,,,,,59
2018-03-19,,,,,41
2018-03-26,,,,,22
2018-04-02,,,,,37
2018-04-09,,21,,,31
2018-04-16,,4,,,25
2018-04-23,,5,,,22
2018-04-30,,4,,,11
2018-05-07,,5,,,31
2018-05-14,,12,,,44
2018-05-21,,45,,,27
2018-05-28,,29,,,5
2018-06-04,,98,,,11
2018-06-11,,42,,,13
2018-06-18,,18,,,34
2018-06-25,,27,,,40
2018-07-02,,64,,,33
2018-07-09,,14,,,18
2018-07-16,,118,,,71
2018-07-23,,77,,,6
2018-07-30,,108,,,6
2018-08-06,,101,,,20
2018-08-13,,71,,,11
2018-08-20,,118,,,48
2018-08-27,,120,,,18
2018-09-03,,135,,,8
2018-09-10,,335,,,7
2018-09-17,,205,,,11
2018-09-24,,137,,,65
2018-10-01,,94,,,29
2018-10-08,,234,,,79
2018-10-15,,480,,,36
2018-10-22,,224,,,18
2018-10-29,,321,,,21
2018-11-05,,498,,,20
2018-11-12,,412,,,28
2018-11-19,,472,,,212
2018-11-26,,256,,,45
2018-12-03,,349,,,125
2018-12-10,,336,,,27
2018-12-17,,483,,,38
2018-12-24,,187,,,118
2018-12-31,,237,,,46
2019-01-07,,553,,,81
2019-01-14,,440,,,32
2019-01-21,,455,,,51
2019-01-28,,459,,,55
2019-02-04,,534,,,76
2019-02-11,,462,,,140
2019-02-18,,455,,,385
2019-02-25,,749,,,171
2019-03-04,,761,,,59
2019-03-11,,481,,,78
2019-03-18,,486,,,21
2019-03-25,,711,,,177
2019-04-01,,701,,,231
2019-04-08,,583,,,81
2019-04-15,,538,,,237
2019-04-22,,553,,,110
2019-04-29,,522,,,51
2019-05-06,,744,,,160
2019-05-13,,762,,,174
2019-05-20,,633,,,62
2019-05-27,,711,,,54
2019-06-03,,726,,,65
2019-06-10,,620,,,81
2019-06-17,,618,,,161
2019-06-24,,1113,,,135
2019-07-01,,947,,,177
2019-07-08,,813,,,112
2019-07-15,,795,,,169
2019-07-22,,690,107,,136
2019-07-29,,729,19,,115
2019-08-05,,686,376,,207
2019-08-12,,936,545,,133
2019-08-19,,865,497,,322
2019-08-26,,714,598,,97
2019-09-02,,855,486,,107
2019-09-09,,890,468,,128
2019-09-16,,1101,597,,86
2019-09-23,,1150,583,,173
2019-09-30,,1074,812,,161
2019-10-07,,1105,794,,178
2019-10-14,,935,611,,215
2019-10-21,,841,675,,233
2019-10-28,,1009,638,,331
2019-11-04,,1066,824,,328
2019-11-11,,961,647,,273
2019-11-18,,800,500,,249
2019-11-25,,802,535,,248
2019-12-02,,864,516,,236
2019-12-09,,992,490,,352
2019-12-16,,821,664,,368
2019-12-23,,681,275,,181
2019-12-30,,615,228,,184
2020-01-06,,927,443,,339
2020-01-13,,1087,591,,190
2020-01-20,,1178,585,,235
2020-01-27,,1198,528,,161
2020-02-03,,1190,607,,301
2020-02-10,,1379,603,,228
2020-02-17,,1596,471,,279
2020-02-24,,1426,300,,163
2020-03-02,67,1473,262,,193
2020-03-09,37,1682,228,,263
2020-03-16,113,2381,598,,337
2020-03-23,82,2917,474,,384
2020-03-30,86,3629,965,,529
2020-04-06,73,4266,1168,,1109
2020-04-13,89,4478,748,,1214
2020-04-20,90,5537,1245,,1414
2020-04-27,106,5271,898,,1047
2020-05-04,128,5067,788,,990
2020-05-11,244,6104,945,,1207
2020-05-18,376,6048,1250,,1319
2020-05-25,352,6108,1675,,987
2020-06-01,460,6343,1349,,1806
2020-06-08,393,5986,1382,,1832
2020-06-15,401,6067,1495,,1535
2020-06-22,285,4809,1266,,930
2020-06-29,541,6583,1888,,1216
2020-07-06,657,7421,1912,,2428
2020-07-13,1190,7830,2639,,1655
2020-07-20,1125,7790,2484,,1388
2020-07-27,1964,7849,2991,,1413
2020-08-03,1386,7379,2530,,1754
2020-08-10,1418,7182,2402,,1490
2020-08-17,1637,8658,2617,,1396
2020-08-24,1693,8054,2775,,1675
2020-08-31,1484,7772,2322,,1988
2020-09-07,2072,8803,2632,,1469
2020-09-14,3480,8974,2773,,1446
2020-09-21,2443,8548,2778,,1397
2020-09-28,2812,8499,2990,,1669
2020-10-05,3521,9339,4078,,1533
2020-10-12,3963,9751,3945,,1214
2020-10-19,3814,9987,4119,,2104
2020-10-26,3851,10183,3819,,1591
2020-11-02,3639,10275,3931,,1837
2020-11-09,3839,9942,3841,,1945
2020-11-16,3795,9340,3897,,1927
2020-11-23,3682,9594,3587,,1646
2020-11-30,3843,10602,3565,,2129
2020-12-07,3745,13239,6604,,2178
2020-12-14,4138,10835,3785,,2369
2020-12-21,3811,7972,2856,,1659
2020-12-28,2276,5587,1810,,1450
2021-01-04,4590,9585,4310,,1687
2021-01-11,5420,10121,3233,,2144
2021-01-18,5040,9289,3487,,2426
2021-01-25,5340,10871,3660,,2348
2021-02-01,6270,11700,3905,,2366
2021-02-08,6898,10611,4256,,2090
2021-02-15,6990,10861,3749,,2453
2021-02-22,7327,11010,3968,,2393
2021-03-01,7119,10579,3904,,2080
2021-03-08,6727,11349,4252,,2545
2021-03-15,8030,11427,4049,,2658
2021-03-22,10003,10918,4014,,2683
2021-03-29,6838,10284,3480,,2542
2021-04-05,7125,11851,3766,,2401
2021-04-12,8146,11173,3891,,2387
2021-04-19,8905,10596,4047,,3010
2021-04-26,8512,9924,3900,,3059
2021-05-03,7524,10480,3662,,3315
2021-05-10,8447,9447,4354,,3614
2021-05-17,9246,9831,4489,,3556
2021-05-24,8992,9246,4792,,3791
2021-05-31,9154,8393,5127,,3529
2021-06-07,10402,9273,4967,,3413
2021-06-14,10642,9477,4572,,3671
2021-06-21,10699,8984,4305,,4130
2021-06-28,10656,8080,4988,,3534
2021-07-05,10609,8294,4853,,3065
2021-07-12,11171,8823,5484,,3690
2021-07-19,10655,7575,4975,,3784
2021-07-26,11143,7526,6038,,3463
2021-08-02,12052,7486,5688,,3668
2021-08-09,14209,6961,6328,,3398
2021-08-16,14946,6738,6791,,3248
2021-08-23,13568,7022,6040,,3545
2021-08-30,15488,6459,5028,,3880
2021-09-06,15833,7336,5602,,3397
2021-09-13,16493,7306,5798,,4302
2021-09-20,15076,6989,5438,,4403
2021-09-27,15602,6526,5824,,5199
2021-10-04,15530,6920,5798,,5536
2021-10-11,15198,7537,5190,24,4369
2021-10-18,16498,7138,5391,38,4905
2021-10-25,17234,7060,5639,114,4740
2021-11-01,18708,5833,6019,456,4270
2021-11-08,19708,7939,7353,713,5284
2021-11-15,20415,8627,6747,271,4381
2021-11-22,18563,6823,6317,415,4477
2021-11-29,20623,7664,7246,437,4167
2021-12-06,18433,7051,6738,573,3966
2021-12-13,19106,6705,7046,454,3968
2021-12-20,15279,6081,6163,444,3732
2021-12-27,10416,4065,4109,359,2344
2022-01-03,17027,6059,5830,604,3296
2022-01-10,20533,7139,6950,665,4297
2022-01-17,20369,7565,7364,674,4643
2022-01-24,20978,7498,6932,886,4478
2022-01-31,19712,6976,5914,997,4716
2022-02-07,21525,7092,6206,929,4999
2022-02-14,22559,7617,6841,1049,5315
2022-02-21,22231,7059,7025,1082,5058
2022-02-28,21670,6915,5935,1244,5355
2022-03-07,23296,7176,6824,1426,5165
2022-03-14,24528,6614,7130,1416,4546
2022-03-21,24487,7245,7376,1292,5037
2022-03-28,23489,7314,7337,1526,5178
2022-04-04,22834,7577,7822,1639,5020
2022-04-11,21352,6385,6725,1797,5329
2022-04-18,22657,6311,7529,1716,4912
2022-04-25,22814,6389,7479,2017,5623
2022-05-02,17952,5338,6751,1436,4622
2022-05-09,23329,6832,8756,1970,5333
2022-05-16,23593,6764,8952,2019,4657
2022-05-23,23700,6246,8037,2108,5237
2022-05-30,23293,5753,7363,2347,4748
2022-06-06,28496,5937,9527,2514,5219
2022-06-13,27631,6143,8819,2411,4944
2022-06-20,26115,5798,8642,2528,5096
2022-06-27,26335,6372,8034,2439,5507
2022-07-04,23929,5766,7168,2151,4906
2022-07-11,23644,5630,7012,2038,4854
2022-07-18,29396,5248,6495,2347,4470
2022-07-25,26215,6090,8793,2279,4931
2022-08-01,24779,5634,8400,2223,4796
2022-08-08,23634,5325,7965,2038,4749
2022-08-15,24316,5591,8940,2507,4829
2022-08-22,26185,6245,9578,3155,5364
2022-08-29,26471,5482,8949,3224,5202
2022-09-05,25928,5583,9711,2855,5173
2022-09-12,27887,5747,10063,3888,6091
2022-09-19,27152,6349,9393,3118,6397
2022-09-26,27367,6240,8236,3331,5836
2022-10-03,25885,5312,7321,2812,5441
2022-10-10,26050,6138,8657,3073,5064
2022-10-17,27186,5780,8526,3141,5217
2022-10-24,27917,5171,8592,3590,5324
2022-10-31,25651,5470,8000,3002,4907
2022-11-07,29580,6058,9199,3539,5988
2022-11-14,30519,5569,9226,3333,5899
2022-11-21,22752,5038,7746,2851,4829
2022-11-28,37164,5470,8807,3192,4809
2022-12-05,27582,5105,8798,3748,4459
2022-12-12,28917,5216,8814,3574,4887
2022-12-19,22213,4392,7400,2746,4235
2022-12-26,12637,3059,4445,1662,2502
2023-01-02,20717,4295,6995,2195,4100
2023-01-09,26137,4907,9494,3469,5081
2023-01-16,27707,4972,9468,4079,4862
2023-01-23,25291,4982,8120,2931,4853
2023-01-30,27193,4488,9041,3292,4862
2023-02-06,28848,4784,10297,3729,6072
2023-02-13,28465,4862,8825,3511,5255
2023-02-20,28527,4578,9312,3587,4679
2023-02-27,30720,4672,9396,3918,4759
2023-03-06,29245,4950,10552,3159,4438
2023-03-13,29810,4764,9840,4021,4969
2023-03-20,31332,5504,9453,3439,4626
2023-03-27,30415,5481,9347,4625,3871
2023-04-03,27496,4961,8891,3940,3001
2023-04-10,27849,5255,9435,4448,3924
2023-04-17,30362,5890,9743,4053,3698
2023-04-24,29349,4468,8801,3985,4278
2023-05-01,28301,3432,7489,3634,3750
2023-05-08,28700,4277,8587,4576,4513
2023-05-15,27473,5105,9386,4854,5474
2023-05-22,29175,4849,10848,4955,5099
2023-05-29,26652,4090,9221,3951,4847
2023-06-05,28008,4068,9323,5184,5594
2023-06-12,28481,4413,9832,4754,5733
2023-06-19,26015,4893,9918,4309,5626
2023-06-26,25031,3583,8198,4039,5199
2023-07-03,26345,4273,8442,4037,5129
2023-07-10,28713,4454,9314,3940,5392
2023-07-17,28427,4369,8846,3913,4924
2023-07-24,28491,4076,8808,4646,4577
2023-07-31,28457,3788,8035,4308,4887
2023-08-07,28007,4044,7616,3953,3732
2023-08-14,28478,3466,9176,3710,4588
2023-08-21,28200,3682,7959,4564,4884
2023-08-28,26963,3458,7740,4514,5169
2023-09-04,28755,3927,8665,5515,3620
2023-09-11,29739,3729,9043,4270,4707
2023-09-18,30189,3441,9321,4730,4280
2023-09-25,28721,3774,9256,4991,4811
2023-10-02,33001,3501,8550,4539,4345
2023-10-09,35471,3667,9102,4974,5064
2023-10-16,38956,3725,11017,4987,5624
2023-10-23,40828,3223,13004,4021,4505
2023-10-30,32937,2210,11790,3337,3467
2023-11-06,48532,3095,10522,5025,4770
2023-11-13,49836,2521,8312,4006,5014
2023-11-20,39464,3323,9074,3984,5490
2023-11-27,55075,3106,9657,3883,4840
2023-12-04,64804,3030,9509,5167,6236
2023-12-11,47166,2983,8983,5482,6615
2023-12-18,29999,2820,9063,5062,5497
2023-12-25,15662,1650,5323,2323,2200
2024-01-01,26568,2125,6580,3064,4992
2024-01-08,34264,3476,9614,5779,5788
2024-01-15,36496,3338,9903,6429,6022
2024-01-22,43145,3468,9533,6149,6151
2024-01-29,38215,3689,10748,7318,7054
2024-02-05,38442,3925,9557,8962,6815
2024-02-12,37130,4352,9662,8772,6711
2024-02-19,41908,4457,10266,8949,6315
2024-02-26,41719,5972,9674,9678,6162
2024-03-04,43862,5078,10111,10247,5784
2024-03-11,40284,4404,9737,8004,5971
2024-03-18,42768,3868,9085,7882,6222
2024-03-25,38747,3645,8412,8485,4420
2024-04-01,38203,3642,7925,9068,5932
2024-04-08,37785,3617,8018,8658,5079
2024-04-15,40170,3787,8198,8604,6026
2024-04-22,38671,3586,7811,8539,5376
2024-04-29,31784,2607,6647,6514,5200
2024-05-06,37025,3339,7290,7527,5106
2024-05-13,42621,3740,7843,9040,5424
2024-05-20,40062,4762,7892,9839,4965
2024-05-27,35965,4333,8243,9873,5155
2024-06-03,38648,4741,8303,10992,5870
2024-06-10,37966,5023,7598,10940,5671
2024-06-17,34231,4167,7066,10171,5268
2024-06-24,33233,2888,7640,7784,5147
2024-07-01,33361,2463,8680,8898,5799
2024-07-08,35540,2527,9650,9970,6800
2024-07-15,32466,2712,8383,8325,5214
2024-07-22,36284,2722,9131,9522,6597
2024-07-29,35826,3050,10202,9178,6466
2024-08-05,34863,2728,8735,8731,5881
2024-08-12,32843,2592,7379,7639,5861
2024-08-19,36759,3748,8849,9030,6068
2024-08-26,38147,3577,9409,10202,6834
2024-09-02,36746,3582,8512,9761,5647
2024-09-09,42474,3371,9155,11143,7100
2024-09-16,39363,3310,9114,10904,6640
2024-09-23,37580,3390,9674,10706,6290
2024-09-30,37440,3361,10023,11295,6797
2024-10-07,41670,3330,10073,10714,6678
2024-10-14,39990,3279,10063,11271,6701
2024-10-21,44905,4254,11146,13132,6693
2024-10-28,41226,3235,8343,10922,5461
2024-11-04,42626,3070,9332,11297,7151
2024-11-11,43522,3378,8017,12792,6663
2024-11-18,45088,4277,8107,12312,7767
2024-11-25,40784,4244,8402,12892,6838
2024-12-02,45726,4143,7571,14642,6005
2024-12-09,45110,3917,8078,12665,7057
2024-12-16,44637,3808,8396,13794,6373
2024-12-23,22397,2614,5232,7917,2234
2024-12-30,17765,1205,4093,4208,2967
2025-01-06,40684,2838,7583,11342,6862
2025-01-13,44134,3510,7956,12835,6730
2025-01-20,50628,5750,8335,15816,6370
2025-01-27,47508,4919,8112,15615,6450
2025-02-03,53744,6127,8645,17397,7171
2025-02-10,50690,6346,8537,14675,7270
2025-02-17,47295,3839,7936,16450,7113
2025-02-24,49638,3411,8836,15503,6712
2025-03-03,49039,3364,9497,16173,7075
2025-03-10,50497,3425,10472,16848,6815
2025-03-17,48311,3406,10810,17493,6904
2025-03-24,52988,4124,12138,21101,6177
2025-03-31,50298,2601,10866,16920,6031
2025-04-07,62718,2813,10085,17339,6305
2025-04-14,59297,2707,13027,22923,5814
2025-04-21,59089,2956,12054,25354,6048
2025-04-28,52206,2165,10790,21383,4956
2025-05-05,50742,2327,12170,18817,6180
2025-05-12,66317,3495,12950,23584,6997
2025-05-19,59173,3277,11074,24720,6791
2025-05-26,56421,2767,10952,23656,5268
2025-06-02,56959,2961,11544,19625,4337
2025-06-09,59907,2411,11715,19784,4605
2025-06-16,60960,2770,12830,21936,5422
2025-06-23,74005,2025,12343,21160,5136
2025-06-30,54143,1943,10919,16485,5603
2025-07-07,56608,1551,10619,18092,6308
2025-07-14,58201,1695,11523,20077,5750
2025-07-21,55856,1402,12217,18994,5734
2025-07-28,55238,1490,12782,18239,5946
2025-08-04,59300,1640,14860,18403,5844
2025-08-11,55326,1352,11321,19325,6375
2025-08-18,57386,1426,13918,19516,7101
2025-08-25,57881,1582,14463,19630,5404
2025-09-01,56220,1067,14046,18297,5715
2025-09-08,70621,1688,24182,29074,5622
2025-09-15,76797,1659,30721,31417,6415
2025-09-22,73173,1762,25421,30113,6006
2025-09-29,67445,1454,24730,31642,6309
2025-10-06,74178,1444,25690,32044,6859
2025-10-13,77045,1728,28502,32385,6989
2025-10-20,63552,1658,22560,31518,6030
2025-10-27,77747,1537,29115,30652,7629
2025-11-03,78449,1393,27718,28597,7619
2025-11-10,72533,1368,22518,24043,7806
2025-11-17,74937,1645,24920,26181,8014
2025-11-24,59697,1386,20534,22176,8539
2025-12-01,71117,1673,24529,27974,10641
2025-12-08,74616,1521,25448,26791,11164
2025-12-15,77450,1246,30385,31948,11106
2025-12-22,40161,907,11301,12741,6315
2025-12-29,34827,641,8621,9653,5995
2026-01-05,73282,1040,23293,25237,11071
2026-01-12,78397,1224,29038,29600,12842
2026-01-19,77610,1795,27481,28236,12402
2026-01-26,76608,1561,25438,26346,11842
2026-02-02,82509,3313,30363,28211,13391
2026-02-09,83035,1271,29950,30090,12728
2026-02-16,86772,1312,33967,33551,12356
2026-02-23,99671,1458,31218,33665,14268
2026-03-02,109990,1381,31329,33460,19245
2026-03-09,114885,1501,31137,33046,28762
2026-03-16,102753,1387,28466,29175,25263
2026-03-23,109593,1470,32774,28477,31611
2026-03-30,106221,1383,29149,27454,32351
2026-04-06,110121,1482,30916,30007,28319
2026-04-13,117429,1478,33682,34185,40625
2026-04-20,122772,1702,38742,35630,39334
2026-04-27,114125,1554,26868,28917,40044
2026-05-04,108916,1621,32048,32971,42785
2026-05-11,113311,1713,33039,31781,29727
2026-05-18,120746,1831,34285,33559,22824
2026-05-25,119169,3564,32283,32549,23223
2026-06-01,45941,923,12679,12885,9103
